id,fecha,usuario,texto,tema,sentimiento,likes,reposts
yt_comm_UgxaJQTzi62gHG-bGLl4AaABAg,2024-01-01,anom_user_yt,"PROFE!!! Lo sigo viendo pese a ya estar en la uni, saludos desde el IPN 🙏🙏",Opinión Pública / Testimonio,real,3,0
yt_comm_UgxaJQTzi62gHG-bGLl4AaABAg.9vXwt29yvKn9vY4x-n7IQQ,2024-01-01,anom_user_yt,"Muchas MUCHAS GRACIAS 😊 saludos a todo el IPN, excelentes clientes.",Opinión Pública / Testimonio,real,2,0
yt_comm_UgwTzEsiQpDfrDlslu54AaABAg,2024-01-01,anom_user_yt,La diferencia es que ahora se visibiliza y se le da voz a la salid mental y sus problemáticas. Mi viejo sufrio de trastornos mentales y era del 56' el problema de la salud mental es un mundo que se llena de crisis cada 10 o 15 años y las personas tienen que pagar con alto costo de su salud para afrontarlos.,Opinión Pública / Testimonio,real,128,0
yt_comm_Ugy-QwmVou4b4N-br4R4AaABAg,2024-01-01,anom_user_yt,"Por este tipo de videos es que eres de los mejores divulgadores de psicología. Imparcialidad, asertividad, empatía, rigurosidad y sin desprecio a la verdad (por mucho que esta sea incómoda o impopular).",Opinión Pública / Testimonio,real,154,0
yt_comm_Ugy3hR1jb_aPf5iOp_54AaABAg,2024-01-01,anom_user_yt,"Excelente video. Es muy real todo lo mencionado!
Soy del 95 así que supongo que soy Millennial pero lo de la salud mental me atraviesa. El solo hecho de tener casi 30  y no tener mi propia casa, un trabajo miserable, no encontrarle un sentido a la vida. Literal y mis padres diciendo que a esa edad ya estaban casados y con casa propia. Todo es muy distinto hoy.
Y peor aún con las redes sociales, me salí de todas porque me vivía comparando con otras chicas y eso que se ve en redes no es la realidad. Venimos de mal en peor, extraño mi infancia, donde lo único importante era llegar de la escuela y mirar la tele, leer, salir a jugar con mis amigos del barrio. Algo que claramente no hacen los niños de hoy, mi primo de 10 años vive detrás de una pantalla, tiene apenas un solo amigo.  Y lo del autodiagnóstico me parece increíble, un influencer sale a decir algo y ya se lo creen. Vayan al médico. Excelente tu manera de explicar! Saludos desde Argentina 🇦🇷",Opinión Pública / Testimonio,real,84,0
yt_comm_UgwdipGLGK60ylQeKE94AaABAg,2024-01-01,anom_user_yt,"No se si antes sería igual pero todas las personas de mi edad y mas jóvenes que yo tenemos algo en común y es que todos venimos de familias disfuncionales, dónde lo menos grave que pasa es ser hijos de padres separados. Porque hay casos de los que me he enterado que son un verdadero horror. 

Puede que eso también esté ayudando a que haya tanta depresión y ansiedad. Es algo que no se menciona mucho.",Opinión Pública / Testimonio,real,77,0
yt_comm_Ugzhub4x9Mg3qTbqfTV4AaABAg,2024-01-01,anom_user_yt,"Hola!
Vengo a comentar para favorecer al algoritmo y decir que eres un crack tio! ❤",Opinión Pública / Testimonio,real,27,0
yt_comm_UgzYUEjhaMaFi5GuWQl4AaABAg,2024-01-01,anom_user_yt,"En mi caso en el sector tecnológico piden un montón de habilidades que resultan ser bastante abrumadoras que he tenido que hacer muchos sacrificios a costa de mi salud mental. A veces siento que lo que piden es absurdo como los años de experiencia, aprender tanto el lado del cliente como de los servidores, solo puedo decir que el mundo laboral es muy mediocre y utópico que en vez de vernos como personas solo nos ven como máquinas biológicas para producir dinero.",Opinión Pública / Testimonio,real,33,0
yt_comm_UgwbFLJZ3paA7pcqZo14AaABAg,2024-01-01,anom_user_yt,Es la generación que estudié lo que estudie ganará el mínimo y la habitación le costará el 60%.,Opinión Pública / Testimonio,real,25,0
yt_comm_UgxnoOo5L4pkRH72zYl4AaABAg,2024-01-01,anom_user_yt,"Todo tiene una consecuencia,la poca resiliencia,victimizarse y la poca resistencia a la frustración ,hacen gente débil e inmadura",Opinión Pública / Testimonio,real,4,0
yt_comm_UgyaJcn0Ib8_02LABt14AaABAg,2024-01-01,anom_user_yt,"Yo creo además como teoría propia, que las redes sociales tienen un efecto eco en sentido de que alguien postea la ansiedad extrema que le da ir en colectivo por ejemplo y ahí muchas personas que absorben esto y lo transmutan a su propia vida,no se que opinan",Opinión Pública / Testimonio,real,15,0
yt_comm_Ugz6aMCXWV_FXr-FRfV4AaABAg,2024-01-01,anom_user_yt,"Es que los millenials y los Z tenemos el mismo problema, somos las dos generaciones de transición del siglo 20 al 21, nuestros familiares tienen puntos de vista muy distintos sobre el mundo y eso nos afectó demasiado, en el caso de los Z nos quedamos atracados en la adolescencia gracias a la pandemia.",Opinión Pública / Testimonio,real,11,0
yt_comm_UgygqRXNUspy394DGOV4AaABAg,2024-01-01,anom_user_yt,"Siendo padre de una mujer Z 
Creo que les ayudaría cambiar todo el sistema educativo, tanto en método como en contenido, haciendo incapie en el conocimiento de las realidades sociales y como afrontarlas ya que también han crecido en un entorno donde las viejas fórmulas ya no resulven nada",Opinión Pública / Testimonio,real,21,0
yt_comm_Ugw6K1Bzf_flpA-kMZl4AaABAg,2024-01-01,anom_user_yt,"Me encanta tu contenido, muy buen video, estoy muy de acuerdo con el tema de la victimización. Ahora parece wue para presentarte o darte a conocer de lo primero que tienes que hablar es de tus traumas o problemas y demostrar que eres el que mas sufre.

Sería muy chevere si pudieras hacer un video hablando sobre el trabajo hoy día y como menos gente quiere trabajar, creo que algo que afecta mucho es ahora el trabajo virtual que no tiene un horario definido, te escriben en cualquier momento, piden ayuda, mandan correos y mensajes fines de semana, sintiendose mas atrapaddos en el trabajo desde la propia casa.",Opinión Pública / Testimonio,real,3,0
yt_comm_Ugx66jqufLsr3xJg46V4AaABAg,2024-01-01,anom_user_yt,"Aaaaaaaa.....este video fue muy bueno porque fue al grano, me identifiqué mucho con las partes de los locus, yo personalmente me sincero de que me ""autoflagelo emocionalmente"", y si, no sé porqué lo he empezado a hacer, me siento como poseído a ver cosas que me depriman y justamente va por el camino de ""tú no eres suficiente hagas lo que hagas"".....Excelente video, buen golpe de realidad y pues hay que ver seriamente cómo ajustar a mejor estas cosas.",Opinión Pública / Testimonio,real,7,0
yt_comm_UgwNjsDN4B1mTl_jklp4AaABAg,2024-01-01,anom_user_yt,"Si así de sensible, poco empática y débil es la generación Z, no me quiero imaginar cómo será la siguiente 💀☠",Opinión Pública / Testimonio,real,6,0
yt_comm_UgzmW7L5sC1ZlT3Tuah4AaABAg,2024-01-01,anom_user_yt,"Me gusta mucho como pensás y tu enfoque clínico y diagnóstico sobre este tema. Te sigo hace un tiempo, dos años más o menos.
Vivo un poco lejos de lo que describís, por la realidad social que me corresponde y por geografía. Soy de Argentina mas específico de Buenos Aires. Trabajo en psiquiatría y psicoanálisis. Argentina y España(aunque estuve viviendo alli hace 20 años atrás), supongo que son realidades sociales y culturales muy diferentes; debe haber temas comunes, habría que ver cuales. 
Sería muy interesante intercambiar opiniones profesionales, por ejemplo algunos temas que planteas como la depresión y la ansiedad. Ahí por lo que decís para mi sorpresa, hay muchas semejanzas. Te mando un saludo y espero que exista esa oportunidad en que poder dialogar. Muchas gracias.",Opinión Pública / Testimonio,real,2,0
